name,mafe,best_L,best_mu,max_v_baryon,max_v_kernel,max_v_total,kernel_to_baryon_ratio,kernel_active,inner_overshoot,outer_decay
UGC05829,0.1725131713241608,10.0,200.0,48.045989990234375,31.634138734785253,55.02653180023893,0.6584137144684723,True,True,False
UGC09992,0.1742202655352133,200.0,10.0,43.326393127441406,5.062957624302046,43.44633903577281,0.11685619916270731,True,False,False
NGC2955,0.1748668774793406,200.0,10.0,126.32835388183592,284.5356481978071,309.76305872883876,2.2523498443109133,True,True,False
IC4202,0.1749704512654725,120.0,10.0,195.5790252685547,236.16264272973663,291.87142150259245,1.2075049581899466,True,True,True
UGC06628,0.1780943253751722,200.0,10.0,55.71248245239258,8.352946163784642,56.15338057775228,0.14992952738952892,True,False,False
NGC5985,0.1796965439421565,200.0,10.0,168.27084350585935,341.30826291914747,369.48190113778367,2.028326808186843,True,True,True
UGC07125,0.1799337329942791,10.0,10.0,77.62356567382812,0.006309384480118752,77.62356567382812,8.128181725934357e-05,False,False,True
NGC4183,0.1871836056261318,200.0,10.0,89.34869384765625,126.71237258913636,148.39530515967678,1.4181782310683462,True,True,True
NGC3893,0.1881034189814494,200.0,10.0,176.87881469726562,250.84353915646497,289.92633234347545,1.4181661019483458,True,True,True
UGC02023,0.1886425588057599,30.0,500.0,47.46474456787109,17.065211903389066,49.38729771668852,0.3595344725596715,True,True,False
F563-V2,0.1886542767180105,10.0,500.0,67.14222717285156,101.59644549572116,116.06400785093686,1.5131527471403405,True,True,False
UGC07608,0.1897409416428263,200.0,10.0,39.822242736816406,46.1530733200596,57.17575996438448,1.1589772485965544,True,True,False
NGC1090,0.1922686290136534,200.0,10.0,157.23748779296875,228.53552002852152,265.5577042268571,1.453441690250288,True,True,True
UGCA442,0.1922800290352666,10.0,500.0,32.06431579589844,54.756327552018845,60.29353226879996,1.707702977370972,True,True,False
F565-V2,0.1943936495147832,200.0,10.0,38.604042053222656,62.64153080433714,70.01734871926345,1.622667665680564,True,True,False
UGC07323,0.1946518837645101,200.0,10.0,53.43203353881836,51.034535764317354,69.47968397825538,0.9551299545288834,True,True,False
NGC4157,0.1956495765933495,80.0,200.0,236.92655944824216,280.06289057881406,349.9670348917389,1.1820662539101923,True,True,True
DDO170,0.1987084155249582,200.0,10.0,41.607444763183594,54.75024474593771,65.31329553939204,1.315876162488679,True,True,True
UGC06399,0.204918598992217,200.0,10.0,48.31281661987305,73.1491539585911,84.22964549353539,1.514073471106668,True,True,False
F563-1,0.2068217818926382,200.0,10.0,63.3176383972168,100.5704576678988,115.37591609224334,1.58834821092,True,True,True
NGC3109,0.2093826385862174,10.0,500.0,36.73849868774414,44.85342791939664,54.72411839102947,1.2208835287643263,True,True,False
NGC0247,0.2099159819093111,200.0,10.0,57.063812255859375,85.99513211548151,98.52940875302346,1.5069994225044339,True,True,False
UGC08837,0.2106522991910219,10.0,500.0,31.425199508666992,25.28869561849221,37.70572207560063,0.8047266529371643,True,True,False
UGC05999,0.2108427122170331,200.0,10.0,57.02676010131836,86.58770832517651,100.11769969191057,1.5183697648496561,True,True,True
UGC07603,0.2118122434733529,200.0,10.0,72.42723846435545,37.26340002588262,81.06971695017374,0.514494281653739,True,True,True
UGC08286,0.2148255320914489,200.0,10.0,64.84452819824219,123.54222028466813,136.45117304188372,1.9052065566268879,True,True,True
UGC02487,0.2153888573328326,200.0,300.0,234.08541870117188,802.141017875923,828.6592060349792,3.426702194124778,True,True,True
KK98-251,0.2169480889769635,200.0,10.0,20.195899963378903,23.28778407002283,29.57088418067893,1.153094643578668,True,True,False
UGC00891,0.2213578116393108,10.0,200.0,38.654460906982415,52.600479816479925,62.418645007627966,1.3607867910267077,True,True,True
UGC01281,0.2223156168714376,80.0,10.0,31.14935874938965,40.59208285238564,48.11646395213469,1.303143450848118,True,True,False
IC2574,0.2238179274155035,200.0,10.0,41.887245178222656,33.88375989336449,51.36267760198526,0.8089278669245308,True,True,False
NGC3972,0.2244306213037509,50.0,200.0,91.46782684326173,105.61936046344772,133.3820817835132,1.1547159707252683,True,True,True
