Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
NGC1003,baryon-dom,g_dag,0.031389,17,Y,gdag_m10,-0.005368,0.4967,,0.028505
NGC1003,baryon-dom,g_dag,0.031389,17,Y,gdag_p20,0.013134,0.4967,,0.028505
NGC1003,baryon-dom,g_dag,0.031389,17,Y,gdag_m20,-0.007771,0.4967,,0.028505
NGC1003,baryon-dom,Ydisk,0.031389,17,Y,Ydisk_p10,0.006861,0.4967,,0.028505
NGC1003,baryon-dom,Ydisk,0.031389,17,Y,Ydisk_m10,-0.005884,0.4967,,0.028505
NGC1003,baryon-dom,Ydisk,0.031389,17,Y,Ydisk_p20,0.013932,0.4967,,0.028505
NGC1003,baryon-dom,Ydisk,0.031389,17,Y,Ydisk_m20,-0.009041,0.4967,,0.028505
NGC1003,baryon-dom,combined,0.031389,17,Y,both_p10,0.013952,0.4967,,0.028505
NGC1003,baryon-dom,combined,0.031389,17,Y,both_m10,-0.008615,0.4967,,0.028505
NGC1003,baryon-dom,combined,0.031389,17,Y,both_p20,0.028505,0.4967,,0.028505
NGC1003,baryon-dom,combined,0.031389,17,Y,both_m20,-0.00211,0.4967,,0.028505
NGC3198,baryon-dom,g_dag,0.120949,31,Y,gdag_p10,0.004925,0.742,,0.032124
NGC3198,baryon-dom,g_dag,0.120949,31,Y,gdag_m10,-0.005063,0.742,,0.032124
NGC3198,baryon-dom,g_dag,0.120949,31,Y,gdag_p20,0.009692,0.742,,0.032124
NGC3198,baryon-dom,g_dag,0.120949,31,Y,gdag_m20,-0.010219,0.742,,0.032124
NGC3198,baryon-dom,Ydisk,0.120949,31,Y,Ydisk_p10,0.01127,0.742,,0.032124
NGC3198,baryon-dom,Ydisk,0.120949,31,Y,Ydisk_m10,-0.011676,0.742,,0.032124
NGC3198,baryon-dom,Ydisk,0.120949,31,Y,Ydisk_p20,0.02205,0.742,,0.032124
NGC3198,baryon-dom,Ydisk,0.120949,31,Y,Ydisk_m20,-0.023515,0.742,,0.032124
NGC3198,baryon-dom,combined,0.120949,31,Y,both_p10,0.016342,0.742,,0.032124
NGC3198,baryon-dom,combined,0.120949,31,Y,both_m10,-0.016389,0.742,,0.032124
NGC3198,baryon-dom,combined,0.120949,31,Y,both_p20,0.032124,0.742,,0.032124
NGC3198,baryon-dom,combined,0.120949,31,Y,both_m20,-0.031501,0.742,,0.032124
